dag,week,jaar,tijd,gem_intensiteit
Monday,39,2020,06:00,832.8387096774194
Monday,39,2020,07:00,1109.2903225806451
Monday,39,2020,08:00,1251.4516129032259
Monday,39,2020,09:00,1003.5806451612904
Monday,39,2020,10:00,931.8064516129032
Monday,39,2020,11:00,957.8387096774194
Monday,39,2020,12:00,1027.0967741935483
Monday,39,2020,13:00,957.483870967742
Monday,39,2020,14:00,1067.483870967742
Monday,39,2020,15:00,1286.9032258064517
Monday,39,2020,16:00,1319.225806451613
Monday,39,2020,17:00,1326.6129032258063
Monday,39,2020,18:00,965.3870967741935
Monday,39,2020,19:00,675.6451612903226
Monday,39,2020,20:00,558.4193548387096
Monday,39,2020,21:00,465.741935483871
Monday,39,2020,22:00,382.93548387096774
Monday,39,2020,23:00,223.74193548387098
Monday,39,2024,00:00,128.3548387096774
Monday,39,2024,01:00,79.35483870967742
Monday,39,2024,02:00,58.935483870967744
Monday,39,2024,03:00,53.03225806451613
Monday,39,2024,04:00,82.96774193548387
Monday,39,2024,05:00,266.9032258064516
Monday,39,2024,06:00,826.1290322580645
Monday,39,2024,07:00,1195.741935483871
Monday,39,2024,08:00,1248.8064516129032
Monday,39,2024,09:00,1021.9677419354839
Monday,39,2024,10:00,885.2903225806451
Monday,39,2024,11:00,898.7096774193549
Monday,39,2024,12:00,992.4193548387096
Monday,39,2024,13:00,1014.4516129032259
Monday,39,2024,14:00,1126.9354838709678
Monday,39,2024,15:00,1298.5483870967741
Monday,39,2024,16:00,1207.4193548387098
Monday,39,2024,17:00,1327.8064516129032
Monday,39,2024,18:00,993.5483870967741
Monday,39,2024,19:00,687.258064516129
Monday,39,2024,20:00,560.5806451612904
Monday,39,2024,21:00,468.51612903225805
Monday,39,2024,22:00,407.5806451612903
Monday,39,2024,23:00,276.61290322580646
Saturday,38,2019,00:00,342.0967741935484
Saturday,38,2019,01:00,219.61290322580646
Saturday,38,2019,02:00,143.16129032258064
Saturday,38,2019,03:00,118.83870967741936
Saturday,38,2019,04:00,114.3225806451613
Saturday,38,2019,05:00,161.19354838709677
Saturday,38,2019,06:00,257.93548387096774
Saturday,38,2019,07:00,383.9032258064516
Saturday,38,2019,08:00,616.3870967741935
Saturday,38,2019,09:00,884.483870967742
Saturday,38,2019,10:00,1034.6774193548388
Saturday,38,2019,11:00,1109.258064516129
Saturday,38,2019,12:00,1190.032258064516
Saturday,38,2019,13:00,1280.5806451612902
Saturday,38,2019,14:00,1225.7096774193549
Saturday,38,2019,15:00,1183.0
Saturday,38,2019,16:00,1181.4516129032259
